author,text,hint_born,hint_gender,hint_text
James Baldwin,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”","August 02, 1924 in Harlem, New York, The United States",The author is a man,"... information.-AUTHOR- Arthur -AUTHOR- was an American novelist, essayist, playwright, poet, and social critic.-AUTHOR- -AUTHOR- offered a vital literary voice during the era of civil rights activism in the 1950s and..."
author,text,hint_born,hint_gender,hint_text
Jane Austen,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”","December 16, 1775 in Steventon Rectory, Hampshire, The United Kingdom",The author is a woman,"... as one of the most widely read writers in English literature, her realism and biting social commentary cementing her historical importance among scholars and critics.-AUTHOR- lived her entire life as..."
Eleanor Roosevelt,“Do one thing every day that scares you.”,"October 11, 1884 in The United States",The author is a woman,"... 1945 to promote the New Deal policies of her husband, President Franklin D. -AUTHOR-, as well as taking a prominent role as an advocate for civil rights. After her husband's..."
Marilyn Monroe,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”","June 01, 1926 in The United States",The author is a woman,"... who became a major sex symbol, starring in a number of commercially successful motion pictures during the 1950s and early 1960s.After spending much of her childhood in foster homes, -AUTHOR-..."
Albert Einstein,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”","March 14, 1879 in Ulm, Germany",The author is a man,"... His 1905 paper explaining the photoelectric effect, the basis of electronics, earned him the Nobel Prize in 1921. His first paper on Special Relativity Theory, also published in 1905, changed..."
Haruki Murakami,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”","January 12, 1949 in Kyoto, Japan",The author is a man,"... accessible, yet profoundly complex'. He can be located on Facebook at: https://www.facebook.com/harukimuraka...Since childhood, -AUTHOR- has been heavily influenced by Western culture, particularly Western music and literature. He grew up reading..."
Alexandre Dumas fils,“The difference between genius and stupidity is: genius has its limits.”,"July 27, 1824 in Paris, France",The author is a woman,"... -AUTHOR-. During 1831 his father legally recognized him and ensured that the young -AUTHOR- received the best education possible at the Institution Goubaux and the Collège Bourbon. At that time,..."
Stephenie Meyer,"“He's like a drug for you, Bella.”","December 24, 1973 in Connecticut, The United States",The author is a man,"... settled in Phoenix by the time I was four, and I think of myself as a native. The unusual spelling of my name was a gift from my father, Stephen..."
Ernest Hemingway,“There is no friend as loyal as a book.”,"July 21, 1899 in Oak Park, Illinois, The United States",The author is a man,"... fiction, while his life of adventure and his public image influenced later generations. -AUTHOR- produced most of his work between the mid-1920s and the mid-1950s, and won the Nobel Prize..."
Helen Keller,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”","June 27, 1880 in Tuscumbia, Alabama, The United States",The author is a woman,"... to read (in several languages) and even speak, eventually graduating with honors from Radcliffe College in 1904, where as a student she wrote The Story of My Life. That she..."
George Bernard Shaw,“Life isn't about finding yourself. Life is about creating yourself.”,"July 26, 1856 in Dublin, Ireland",The author is a woman,"... profitable writing was music and literary criticism, in which capacity he wrote many highly articulate pieces of journalism, his main talent was for drama. Over the course of his life..."
author,text,hint_born,hint_gender,hint_text
Charles Bukowski,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”","August 16, 1920 in Andernach, Germany",The author is a man,"... was influenced by the social, cultural and economic ambience of his home city of Los Angeles.It is marked by an emphasis on the ordinary lives of poor Americans, the act..."
Suzanne Collins,“You don’t forget the face of the person who was your last hope.”,"August 11, 1962 in Hartford, Connecticut, The United States",The author is a woman,"... busy writing for children’s television. She has worked on the staffs of several Nickelodeon shows, including the Emmy-nominated hit Clarissa Explains it All and The Mystery Files of Shelby Woo...."
Suzanne Collins,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”","August 11, 1962 in Hartford, Connecticut, The United States",The author is a woman,"... busy writing for children’s television. She has worked on the staffs of several Nickelodeon shows, including the Emmy-nominated hit Clarissa Explains it All and The Mystery Files of Shelby Woo...."
C.S. Lewis,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”","November 29, 1898 in Belfast, Ireland",The author is a man,... influential writers of his day. He was a Fellow and Tutor in English Literature at Oxford University until 1954. He was unanimously elected to the Chair of Medieval and Renaissance...
J.R.R. Tolkien,“Not all those who wander are lost.”,"January 03, 1892 in Bloemfontein, Mangaung, Free State, South Africa",The author is a man,"... Army), philologist, and university professor, best known as the author of the high fantasy classic works The Hobbit and The Lord of the Rings .-AUTHOR- was Rawlinson and Bosworth Professor..."
J.K. Rowling,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”","July 31, 1965 in Yate, South Gloucestershire, England, The United Kingdom",The author is a woman,"... Harry Potter book was published was simply Joanne -AUTHOR-. Anticipating that the target audience of young boys might not want to read a book written by a woman, her publishers..."
Ernest Hemingway,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,"July 21, 1899 in Oak Park, Illinois, The United States",The author is a man,"... fiction, while his life of adventure and his public image influenced later generations. -AUTHOR- produced most of his work between the mid-1920s and the mid-1950s, and won the Nobel Prize..."
Ralph Waldo Emerson,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,"May 25, 1803 in Boston, Massachusetts, The United States",The author is a man,"... Unitarian minister in 1826 at the Second Church Unitarian. The congregation, with Christian overtones, issued communion, something Emerson refused to do. ""Really, it is beyond my comprehension,"" Emerson once said,..."
Mark Twain,“I have never let my schooling interfere with my education.”,"November 30, 1835 in Florida, Missouri, The United States",The author is a man,"... for his novels Adventures of Huckleberry Finn (1885), called ""the Great American Novel"", and The Adventures of Tom Sawyer (1876).-AUTHOR- grew up in Hannibal, Missouri, which would later provide the..."
Dr. Seuss,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,"March 02, 1904 in Springfield, MA, The United States",The author is a man,"... to Oxford University with the intent of acquiring a doctorate in literature. At Oxford he met Helen Palmer, who he wed in 1927. He returned from Europe in 1927, and..."
author,text,hint_born,hint_gender,hint_text
Alfred Tennyson,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,"August 06, 1809 in Somersby, Lincolnshire, The United Kingdom",The author is a man,"... Elizabeth. In 1816 -AUTHOR- was sent to Louth Grammar School, which he disliked so intensely that from 1820 he was educated at home until at the age of 18 he..."
Charles Bukowski,“Some people never go crazy. What truly horrible lives they must lead.”,"August 16, 1920 in Andernach, Germany",The author is a man,"... was influenced by the social, cultural and economic ambience of his home city of Los Angeles.It is marked by an emphasis on the ordinary lives of poor Americans, the act..."
Terry Pratchett,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”","April 28, 1948 in Beaconsfield, Buckinghamshire, England, The United Kingdom",The author is a man,"... typewriter. His first novel, a humorous fantasy entitled The Carpet People, appeared in 1971 from the publisher Colin Smythe. -AUTHOR- worked for many years as a journalist and press officer,..."
Dr. Seuss,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”","March 02, 1904 in Springfield, MA, The United States",The author is a man,"... to Oxford University with the intent of acquiring a doctorate in literature. At Oxford he met Helen Palmer, who he wed in 1927. He returned from Europe in 1927, and..."
J.D. Salinger,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”","January 01, 1919 in Manhattan, New York, The United States",The author is a man,"... as his reclusive nature. His last original published work was in 1965; he gave his last interview in 1980. Raised in Manhattan, -AUTHOR- began writing short stories while in secondary..."
George Carlin,“The reason I talk to myself is because I’m the only one whose answers I accept.”,"May 12, 1937 in New York, New York, The United States",The author is a man,"... and black humor and his observations on language, psychology, and religion along with many taboo subjects. -AUTHOR- and his ""Seven Dirty Words"" comedy routine were central to the 1978 U.S...."
John Lennon,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”","October 09, 1940 in Liverpool, England, The United Kingdom",The author is a man,"... of The Beatles, and together with Paul McCartney formed one of the most successful songwriting partnerships of the 20th century.Born and raised in Liverpool, -AUTHOR- became involved in the skiffle..."
W.C. Fields,“I am free of all prejudice. I hate everyone equally. ”,"January 29, 1880 in Darby, Pennsylvania, The United States",The author is a man,"... Dukenfield and Philadelphia native Kate FeltonHe was an American juggler, comedian, and actor. -AUTHOR- created one of the great American comic personas of the first half of the 20th century—a..."
Ayn Rand,“The question isn't who is going to let me; it's who is going to stop me.”,"February 02, 1905 in St. Petersburg, Russian Federation",The author is a woman,"... by her father, Fronz, the Rosenbaums fled to the Crimea. Alisa returned to the city (renamed Leningrad) to attend the university, but in 1926 relatives who had already settled in..."
Mark Twain,“′Classic′ - a book which people praise and don't read.”,"November 30, 1835 in Florida, Missouri, The United States",The author is a man,"... for his novels Adventures of Huckleberry Finn (1885), called ""the Great American Novel"", and The Adventures of Tom Sawyer (1876).-AUTHOR- grew up in Hannibal, Missouri, which would later provide the..."
author,text,hint_born,hint_gender,hint_text
Albert Einstein,“Anyone who has never made a mistake has never tried anything new.”,"March 14, 1879 in Ulm, Germany",The author is a man,"... His 1905 paper explaining the photoelectric effect, the basis of electronics, earned him the Nobel Prize in 1921. His first paper on Special Relativity Theory, also published in 1905, changed..."
Jane Austen,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”","December 16, 1775 in Steventon Rectory, Hampshire, The United Kingdom",The author is a woman,"... as one of the most widely read writers in English literature, her realism and biting social commentary cementing her historical importance among scholars and critics.-AUTHOR- lived her entire life as..."
J.K. Rowling,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”","July 31, 1965 in Yate, South Gloucestershire, England, The United Kingdom",The author is a woman,"... Harry Potter book was published was simply Joanne -AUTHOR-. Anticipating that the target audience of young boys might not want to read a book written by a woman, her publishers..."
Jane Austen,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”","December 16, 1775 in Steventon Rectory, Hampshire, The United Kingdom",The author is a woman,"... as one of the most widely read writers in English literature, her realism and biting social commentary cementing her historical importance among scholars and critics.-AUTHOR- lived her entire life as..."
Jane Austen,"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”","December 16, 1775 in Steventon Rectory, Hampshire, The United Kingdom",The author is a woman,"... as one of the most widely read writers in English literature, her realism and biting social commentary cementing her historical importance among scholars and critics.-AUTHOR- lived her entire life as..."
C.S. Lewis,“Some day you will be old enough to start reading fairy tales again.”,"November 29, 1898 in Belfast, Ireland",The author is a man,... influential writers of his day. He was a Fellow and Tutor in English Literature at Oxford University until 1954. He was unanimously elected to the Chair of Medieval and Renaissance...
C.S. Lewis,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,"November 29, 1898 in Belfast, Ireland",The author is a man,... influential writers of his day. He was a Fellow and Tutor in English Literature at Oxford University until 1954. He was unanimously elected to the Chair of Medieval and Renaissance...
Mark Twain,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,"November 30, 1835 in Florida, Missouri, The United States",The author is a man,"... for his novels Adventures of Huckleberry Finn (1885), called ""the Great American Novel"", and The Adventures of Tom Sawyer (1876).-AUTHOR- grew up in Hannibal, Missouri, which would later provide the..."
Mark Twain,“A lie can travel half way around the world while the truth is putting on its shoes.”,"November 30, 1835 in Florida, Missouri, The United States",The author is a man,"... for his novels Adventures of Huckleberry Finn (1885), called ""the Great American Novel"", and The Adventures of Tom Sawyer (1876).-AUTHOR- grew up in Hannibal, Missouri, which would later provide the..."
C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","November 29, 1898 in Belfast, Ireland",The author is a man,... influential writers of his day. He was a Fellow and Tutor in English Literature at Oxford University until 1954. He was unanimously elected to the Chair of Medieval and Renaissance...
author,text,hint_born,hint_gender,hint_text
J.K. Rowling,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”","July 31, 1965 in Yate, South Gloucestershire, England, The United Kingdom",The author is a woman,"... Harry Potter book was published was simply Joanne -AUTHOR-. Anticipating that the target audience of young boys might not want to read a book written by a woman, her publishers..."
Jimi Hendrix,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”","November 27, 1942 in Seattle, Washington, The United States",The author is a man,"... in rock music history. After initial success in Europe, he achieved fame in the USA following his 1967 performance at the Monterey Pop Festival. Later, -AUTHOR- headlined the iconic 1969..."
J.M. Barrie,“To die will be an awfully big adventure.”,"May 09, 1860 in Kirriemuir, Angus, Scotland, The United Kingdom",The author is a man,"... best remembered today as the creator of Peter Pan.The child of a family of small-town weavers, he was educated in Scotland. He moved to London, where he developed a career..."
E.E. Cummings,“It takes courage to grow up and become who you really are.”,"October 14, 1894 in Cambridge, Massachusetts, The United States",The author is a man,"... and studied Latin and Greek at the Cambridge Latin High School.He received his BA in 1915 and his MA in 1916, both from Harvard University. His studies there introduced him..."
Khaled Hosseini,“But better to get hurt by the truth than comforted with a lie.”,"March 04, 1965 in Kabul, Afghanistan",The author is a man,"... worked for the Embassy of Afghanistan in Tehran. In 1973 -AUTHOR-'s family returned to Kabul, and -AUTHOR-'s youngest brother was born in July of that year.In 1976, when -AUTHOR- was..."
Harper Lee,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,"April 28, 1926 in Monroeville, Alabama, The United States",The author is a woman,"... Coleman -AUTHOR- and Frances Cunningham Finch -AUTHOR-. Her father, a former newspaper editor and proprietor, was a lawyer who served on the state legislature from 1926 to 1938. As a..."
Madeleine L'Engle,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”","November 29, 1918 in New York City, New York, The United States",The author is a woman,"... Time and its sequels A Wind in the Door, A Swiftly Tilting Planet, and Many Waters. Her works reflect her strong interest in modern science: tesseracts, for example, are featured..."
Mark Twain,“Never tell the truth to people who are not worthy of it.”,"November 30, 1835 in Florida, Missouri, The United States",The author is a man,"... for his novels Adventures of Huckleberry Finn (1885), called ""the Great American Novel"", and The Adventures of Tom Sawyer (1876).-AUTHOR- grew up in Hannibal, Missouri, which would later provide the..."
Dr. Seuss,"“A person's a person, no matter how small.”","March 02, 1904 in Springfield, MA, The United States",The author is a man,"... to Oxford University with the intent of acquiring a doctorate in literature. At Oxford he met Helen Palmer, who he wed in 1927. He returned from Europe in 1927, and..."
George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","September 20, 1948 in Bayonne, New Jersey, The United States",The author is a man,"... longshoreman, and his mother was Margaret Brady Martin. He has two sisters, Darleen Martin Lapinski and Janet Martin Patten. Martin attended Mary Jane Donohoe School and Marist High School. He..."
